team1,team2,team1_toss_win,team1_powerplay_score,team2_powerplay_score,venue,team1_win
4,13,0.0,81.0,65.0,24,0.0
10,11,0.0,100.0,102.0,16,1.0
2,8,0.0,96.0,92.0,8,1.0
7,13,0.0,88.0,89.0,22,0.0
10,4,1.0,114.0,99.0,24,0.0
11,5,0.0,98.0,101.0,16,0.0
8,7,0.0,89.0,85.0,21,1.0
13,11,0.0,85.0,35.0,22,0.0
4,2,0.0,107.0,91.0,8,1.0
5,8,0.0,100.0,107.0,33,0.0
11,4,0.0,104.0,120.0,16,0.0
2,5,0.0,112.0,79.0,8,1.0
13,10,0.0,105.0,99.0,22,1.0
7,4,0.0,100.0,83.0,24,1.0
11,8,0.0,90.0,100.0,16,0.0
10,5,0.0,106.0,118.0,14,0.0
4,2,0.0,84.0,83.0,24,0.0
5,7,0.0,89.0,75.0,7,1.0
2,11,0.0,95.0,98.0,8,0.0
4,13,0.0,71.0,81.0,22,0.0
11,10,0.0,109.0,109.0,14,0.0
7,2,0.0,115.0,79.0,21,1.0
13,8,0.0,115.0,45.0,5,1.0
5,4,0.0,91.0,80.0,7,0.0
10,7,0.0,122.0,103.0,21,1.0
13,11,1.0,76.0,73.0,5,1.0
10,8,0.0,94.0,99.0,14,0.0
13,2,0.0,83.0,83.0,22,0.0
8,7,1.0,75.0,51.0,5,0.0
10,4,0.0,157.0,54.0,14,1.0
11,5,1.0,41.0,66.0,7,0.0
7,13,1.0,101.0,105.0,21,0.0
8,2,0.0,107.0,68.0,5,1.0
5,10,0.0,107.0,114.0,7,0.0
2,11,0.0,78.0,33.0,5,0.0
10,7,0.0,65.0,54.0,14,1.0
5,4,0.0,91.0,45.0,9,0.0
13,2,0.0,92.0,94.0,26,0.0
7,11,1.0,101.0,118.0,5,0.0
8,4,0.0,97.0,86.0,9,0.0
5,13,0.0,82.0,79.0,7,1.0
2,10,0.0,86.0,73.0,26,0.0
4,10,0.0,84.0,91.0,14,0.0
13,5,0.0,95.0,83.0,8,1.0
4,13,0.0,94.0,109.0,8,0.0
13,10,1.0,127.0,106.0,14,1.0
8,0,0.0,82.0,114.0,33,0.0
